"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"Younger than 15 years";"N Renting and other business support";"2020*";1
"Total";"Total";"Younger than 15 years";"O-U Noncommercial services";"2020*";0
"Total";"Total";"Younger than 15 years";"O-Q Government and care";"2020*";0
"Total";"Total";"Younger than 15 years";"O Public administration and services";"2020*";0
"Total";"Total";"Younger than 15 years";"P Education";"2020*";0
"Total";"Total";"Younger than 15 years";"Q Health and social work activities";"2020*";0
"Total";"Total";"Younger than 15 years";"R-U Culture, recreation, other services";"2020*";0
"Total";"Total";"Younger than 15 years";"R Culture, sports and recreation";"2020*";0
"Total";"Total";"Younger than 15 years";"S Other service activities";"2020*";0
"Total";"Total";"15 to 19 years";"A-U All economic activities";"2020*";631
"Total";"Total";"15 to 19 years";"A-F Agriculture and industry";"2020*";52
"Total";"Total";"15 to 19 years";"A Agriculture, forestry and fishing";"2020*";19
"Total";"Total";"15 to 19 years";"B-F Manifacturing and energy";"2020*";34
"Total";"Total";"15 to 19 years";"B-E Industry (no construction), energy";"2020*";22
"Total";"Total";"15 to 19 years";"B Mining and quarrying ";"2020*";0
"Total";"Total";"15 to 19 years";"C Manufacturing";"2020*";22
"Total";"Total";"15 to 19 years";"D Energy supply";"2020*";0
"Total";"Total";"15 to 19 years";"E Water supply and waste management";"2020*";0
"Total";"Total";"15 to 19 years";"F Construction";"2020*";11
"Total";"Total";"15 to 19 years";"G-N Commercial services";"2020*";501
"Total";"Total";"15 to 19 years";"G-I Trade, transport, hotels, catering";"2020*";419
"Total";"Total";"15 to 19 years";"G Wholesale and retail trade";"2020*";297
"Total";"Total";"15 to 19 years";"H Transportation and storage";"2020*";9
"Total";"Total";"15 to 19 years";"I Accommodation and food serving";"2020*";113
"Total";"Total";"15 to 19 years";"J Information and communication";"2020*";5
"Total";"Total";"15 to 19 years";"K Financial institutions";"2020*";2
"Total";"Total";"15 to 19 years";"L Renting, buying, selling real estate";"2020*";1
"Total";"Total";"15 to 19 years";"M-N Business services";"2020*";74
"Total";"Total";"15 to 19 years";"M Other specialised business services";"2020*";10
"Total";"Total";"15 to 19 years";"N Renting and other business support";"2020*";64
"Total";"Total";"15 to 19 years";"O-U Noncommercial services";"2020*";77
"Total";"Total";"15 to 19 years";"O-Q Government and care";"2020*";59
"Total";"Total";"15 to 19 years";"O Public administration and services";"2020*";6
"Total";"Total";"15 to 19 years";"P Education";"2020*";9
"Total";"Total";"15 to 19 years";"Q Health and social work activities";"2020*";44
"Total";"Total";"15 to 19 years";"R-U Culture, recreation, other services";"2020*";18
"Total";"Total";"15 to 19 years";"R Culture, sports and recreation";"2020*";11
"Total";"Total";"15 to 19 years";"S Other service activities";"2020*";7
"Total";"Total";"20 to 24 years";"A-U All economic activities";"2020*";845
"Total";"Total";"20 to 24 years";"A-F Agriculture and industry";"2020*";85
"Total";"Total";"20 to 24 years";"A Agriculture, forestry and fishing";"2020*";14
"Total";"Total";"20 to 24 years";"B-F Manifacturing and energy";"2020*";70
"Total";"Total";"20 to 24 years";"B-E Industry (no construction), energy";"2020*";45
"Total";"Total";"20 to 24 years";"B Mining and quarrying ";"2020*";0
"Total";"Total";"20 to 24 years";"C Manufacturing";"2020*";43
"Total";"Total";"20 to 24 years";"D Energy supply";"2020*";1
"Total";"Total";"20 to 24 years";"E Water supply and waste management";"2020*";1
"Total";"Total";"20 to 24 years";"F Construction";"2020*";25
"Total";"Total";"20 to 24 years";"G-N Commercial services";"2020*";536
"Total";"Total";"20 to 24 years";"G-I Trade, transport, hotels, catering";"2020*";295
"Total";"Total";"20 to 24 years";"G Wholesale and retail trade";"2020*";182
"Total";"Total";"20 to 24 years";"H Transportation and storage";"2020*";27
"Total";"Total";"20 to 24 years";"I Accommodation and food serving";"2020*";86
"Total";"Total";"20 to 24 years";"J Information and communication";"2020*";23
"Total";"Total";"20 to 24 years";"K Financial institutions";"2020*";9
"Total";"Total";"20 to 24 years";"L Renting, buying, selling real estate";"2020*";4
"Total";"Total";"20 to 24 years";"M-N Business services";"2020*";206
"Total";"Total";"20 to 24 years";"M Other specialised business services";"2020*";44
"Total";"Total";"20 to 24 years";"N Renting and other business support";"2020*";162
"Total";"Total";"20 to 24 years";"O-U Noncommercial services";"2020*";224
"Total";"Total";"20 to 24 years";"O-Q Government and care";"2020*";189
"Total";"Total";"20 to 24 years";"O Public administration and services";"2020*";22
"Total";"Total";"20 to 24 years";"P Education";"2020*";35
"Total";"Total";"20 to 24 years";"Q Health and social work activities";"2020*";132
"Total";"Total";"20 to 24 years";"R-U Culture, recreation, other services";"2020*";35
"Total";"Total";"20 to 24 years";"R Culture, sports and recreation";"2020*";21
"Total";"Total";"20 to 24 years";"S Other service activities";"2020*";14
"Total";"Total";"25 to 29 years";"A-U All economic activities";"2020*";932
"Total";"Total";"25 to 29 years";"A-F Agriculture and industry";"2020*";112
"Total";"Total";"25 to 29 years";"A Agriculture, forestry and fishing";"2020*";10
"Total";"Total";"25 to 29 years";"B-F Manifacturing and energy";"2020*";102
"Total";"Total";"25 to 29 years";"B-E Industry (no construction), energy";"2020*";70
"Total";"Total";"25 to 29 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"25 to 29 years";"C Manufacturing";"2020*";64
"Total";"Total";"25 to 29 years";"D Energy supply";"2020*";2
"Total";"Total";"25 to 29 years";"E Water supply and waste management";"2020*";3
"Total";"Total";"25 to 29 years";"F Construction";"2020*";31
"Total";"Total";"25 to 29 years";"G-N Commercial services";"2020*";524
"Total";"Total";"25 to 29 years";"G-I Trade, transport, hotels, catering";"2020*";217
"Total";"Total";"25 to 29 years";"G Wholesale and retail trade";"2020*";137
"Total";"Total";"25 to 29 years";"H Transportation and storage";"2020*";35
"Total";"Total";"25 to 29 years";"I Accommodation and food serving";"2020*";45
"Total";"Total";"25 to 29 years";"J Information and communication";"2020*";47
"Total";"Total";"25 to 29 years";"K Financial institutions";"2020*";22
"Total";"Total";"25 to 29 years";"L Renting, buying, selling real estate";"2020*";6
"Total";"Total";"25 to 29 years";"M-N Business services";"2020*";232
"Total";"Total";"25 to 29 years";"M Other specialised business services";"2020*";81
"Total";"Total";"25 to 29 years";"N Renting and other business support";"2020*";151
"Total";"Total";"25 to 29 years";"O-U Noncommercial services";"2020*";296
"Total";"Total";"25 to 29 years";"O-Q Government and care";"2020*";264
"Total";"Total";"25 to 29 years";"O Public administration and services";"2020*";42
"Total";"Total";"25 to 29 years";"P Education";"2020*";57
"Total";"Total";"25 to 29 years";"Q Health and social work activities";"2020*";165
"Total";"Total";"25 to 29 years";"R-U Culture, recreation, other services";"2020*";32
"Total";"Total";"25 to 29 years";"R Culture, sports and recreation";"2020*";17
"Total";"Total";"25 to 29 years";"S Other service activities";"2020*";15
"Total";"Total";"30 to 34 years";"A-U All economic activities";"2020*";884
"Total";"Total";"30 to 34 years";"A-F Agriculture and industry";"2020*";125
"Total";"Total";"30 to 34 years";"A Agriculture, forestry and fishing";"2020*";9
"Total";"Total";"30 to 34 years";"B-F Manifacturing and energy";"2020*";116
"Total";"Total";"30 to 34 years";"B-E Industry (no construction), energy";"2020*";81
"Total";"Total";"30 to 34 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"30 to 34 years";"C Manufacturing";"2020*";73
"Total";"Total";"30 to 34 years";"D Energy supply";"2020*";3
"Total";"Total";"30 to 34 years";"E Water supply and waste management";"2020*";4
"Total";"Total";"30 to 34 years";"F Construction";"2020*";35
"Total";"Total";"30 to 34 years";"G-N Commercial services";"2020*";458
"Total";"Total";"30 to 34 years";"G-I Trade, transport, hotels, catering";"2020*";190
"Total";"Total";"30 to 34 years";"G Wholesale and retail trade";"2020*";123
"Total";"Total";"30 to 34 years";"H Transportation and storage";"2020*";38
"Total";"Total";"30 to 34 years";"I Accommodation and food serving";"2020*";30
"Total";"Total";"30 to 34 years";"J Information and communication";"2020*";49
"Total";"Total";"30 to 34 years";"K Financial institutions";"2020*";29
"Total";"Total";"30 to 34 years";"L Renting, buying, selling real estate";"2020*";7
"Total";"Total";"30 to 34 years";"M-N Business services";"2020*";184
"Total";"Total";"30 to 34 years";"M Other specialised business services";"2020*";71
"Total";"Total";"30 to 34 years";"N Renting and other business support";"2020*";113
"Total";"Total";"30 to 34 years";"O-U Noncommercial services";"2020*";300
"Total";"Total";"30 to 34 years";"O-Q Government and care";"2020*";273
"Total";"Total";"30 to 34 years";"O Public administration and services";"2020*";50
"Total";"Total";"30 to 34 years";"P Education";"2020*";63
"Total";"Total";"30 to 34 years";"Q Health and social work activities";"2020*";159
"Total";"Total";"30 to 34 years";"R-U Culture, recreation, other services";"2020*";27
"Total";"Total";"30 to 34 years";"R Culture, sports and recreation";"2020*";13
"Total";"Total";"30 to 34 years";"S Other service activities";"2020*";14
"Total";"Total";"35 to 39 years";"A-U All economic activities";"2020*";807
"Total";"Total";"35 to 39 years";"A-F Agriculture and industry";"2020*";126
"Total";"Total";"35 to 39 years";"A Agriculture, forestry and fishing";"2020*";8
"Total";"Total";"35 to 39 years";"B-F Manifacturing and energy";"2020*";118
"Total";"Total";"35 to 39 years";"B-E Industry (no construction), energy";"2020*";82
"Total";"Total";"35 to 39 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"35 to 39 years";"C Manufacturing";"2020*";74
"Total";"Total";"35 to 39 years";"D Energy supply";"2020*";4
"Total";"Total";"35 to 39 years";"E Water supply and waste management";"2020*";4
"Total";"Total";"35 to 39 years";"F Construction";"2020*";36
"Total";"Total";"35 to 39 years";"G-N Commercial services";"2020*";401
"Total";"Total";"35 to 39 years";"G-I Trade, transport, hotels, catering";"2020*";170
"Total";"Total";"35 to 39 years";"G Wholesale and retail trade";"2020*";110
"Total";"Total";"35 to 39 years";"H Transportation and storage";"2020*";36
"Total";"Total";"35 to 39 years";"I Accommodation and food serving";"2020*";23
"Total";"Total";"35 to 39 years";"J Information and communication";"2020*";40
"Total";"Total";"35 to 39 years";"K Financial institutions";"2020*";32
"Total";"Total";"35 to 39 years";"L Renting, buying, selling real estate";"2020*";7
"Total";"Total";"35 to 39 years";"M-N Business services";"2020*";152
"Total";"Total";"35 to 39 years";"M Other specialised business services";"2020*";60
"Total";"Total";"35 to 39 years";"N Renting and other business support";"2020*";93
"Total";"Total";"35 to 39 years";"O-U Noncommercial services";"2020*";280
"Total";"Total";"35 to 39 years";"O-Q Government and care";"2020*";256
"Total";"Total";"35 to 39 years";"O Public administration and services";"2020*";55
"Total";"Total";"35 to 39 years";"P Education";"2020*";63
"Total";"Total";"35 to 39 years";"Q Health and social work activities";"2020*";138
"Total";"Total";"35 to 39 years";"R-U Culture, recreation, other services";"2020*";24
"Total";"Total";"35 to 39 years";"R Culture, sports and recreation";"2020*";11
"Total";"Total";"35 to 39 years";"S Other service activities";"2020*";13
"Total";"Total";"40 to 44 years";"A-U All economic activities";"2020*";780
"Total";"Total";"40 to 44 years";"A-F Agriculture and industry";"2020*";131
"Total";"Total";"40 to 44 years";"A Agriculture, forestry and fishing";"2020*";8
"Total";"Total";"40 to 44 years";"B-F Manifacturing and energy";"2020*";123
"Total";"Total";"40 to 44 years";"B-E Industry (no construction), energy";"2020*";85
"Total";"Total";"40 to 44 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"40 to 44 years";"C Manufacturing";"2020*";77
"Total";"Total";"40 to 44 years";"D Energy supply";"2020*";3
"Total";"Total";"40 to 44 years";"E Water supply and waste management";"2020*";4
"Total";"Total";"40 to 44 years";"F Construction";"2020*";37
"Total";"Total";"40 to 44 years";"G-N Commercial services";"2020*";375
"Total";"Total";"40 to 44 years";"G-I Trade, transport, hotels, catering";"2020*";162
"Total";"Total";"40 to 44 years";"G Wholesale and retail trade";"2020*";106
"Total";"Total";"40 to 44 years";"H Transportation and storage";"2020*";36
"Total";"Total";"40 to 44 years";"I Accommodation and food serving";"2020*";20
"Total";"Total";"40 to 44 years";"J Information and communication";"2020*";31
"Total";"Total";"40 to 44 years";"K Financial institutions";"2020*";34
"Total";"Total";"40 to 44 years";"L Renting, buying, selling real estate";"2020*";8
"Total";"Total";"40 to 44 years";"M-N Business services";"2020*";140
"Total";"Total";"40 to 44 years";"M Other specialised business services";"2020*";56
"Total";"Total";"40 to 44 years";"N Renting and other business support";"2020*";84
"Total";"Total";"40 to 44 years";"O-U Noncommercial services";"2020*";274
"Total";"Total";"40 to 44 years";"O-Q Government and care";"2020*";251
"Total";"Total";"40 to 44 years";"O Public administration and services";"2020*";59
"Total";"Total";"40 to 44 years";"P Education";"2020*";60
"Total";"Total";"40 to 44 years";"Q Health and social work activities";"2020*";132
"Total";"Total";"40 to 44 years";"R-U Culture, recreation, other services";"2020*";22
"Total";"Total";"40 to 44 years";"R Culture, sports and recreation";"2020*";10
"Total";"Total";"40 to 44 years";"S Other service activities";"2020*";12
"Total";"Total";"45 to 49 years";"A-U All economic activities";"2020*";867
"Total";"Total";"45 to 49 years";"A-F Agriculture and industry";"2020*";157
"Total";"Total";"45 to 49 years";"A Agriculture, forestry and fishing";"2020*";10
"Total";"Total";"45 to 49 years";"B-F Manifacturing and energy";"2020*";147
"Total";"Total";"45 to 49 years";"B-E Industry (no construction), energy";"2020*";105
"Total";"Total";"45 to 49 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"45 to 49 years";"C Manufacturing";"2020*";96
"Total";"Total";"45 to 49 years";"D Energy supply";"2020*";3
"Total";"Total";"45 to 49 years";"E Water supply and waste management";"2020*";5
"Total";"Total";"45 to 49 years";"F Construction";"2020*";42
"Total";"Total";"45 to 49 years";"G-N Commercial services";"2020*";414
"Total";"Total";"45 to 49 years";"G-I Trade, transport, hotels, catering";"2020*";187
"Total";"Total";"45 to 49 years";"G Wholesale and retail trade";"2020*";123
"Total";"Total";"45 to 49 years";"H Transportation and storage";"2020*";44
"Total";"Total";"45 to 49 years";"I Accommodation and food serving";"2020*";20
"Total";"Total";"45 to 49 years";"J Information and communication";"2020*";31
"Total";"Total";"45 to 49 years";"K Financial institutions";"2020*";40
"Total";"Total";"45 to 49 years";"L Renting, buying, selling real estate";"2020*";9
"Total";"Total";"45 to 49 years";"M-N Business services";"2020*";146
"Total";"Total";"45 to 49 years";"M Other specialised business services";"2020*";58
"Total";"Total";"45 to 49 years";"N Renting and other business support";"2020*";88
"Total";"Total";"45 to 49 years";"O-U Noncommercial services";"2020*";296
"Total";"Total";"45 to 49 years";"O-Q Government and care";"2020*";271
"Total";"Total";"45 to 49 years";"O Public administration and services";"2020*";68
"Total";"Total";"45 to 49 years";"P Education";"2020*";57
"Total";"Total";"45 to 49 years";"Q Health and social work activities";"2020*";146
"Total";"Total";"45 to 49 years";"R-U Culture, recreation, other services";"2020*";25
"Total";"Total";"45 to 49 years";"R Culture, sports and recreation";"2020*";12
"Total";"Total";"45 to 49 years";"S Other service activities";"2020*";13
"Total";"Total";"50 to 54 years";"A-U All economic activities";"2020*";939
"Total";"Total";"50 to 54 years";"A-F Agriculture and industry";"2020*";180
"Total";"Total";"50 to 54 years";"A Agriculture, forestry and fishing";"2020*";11
"Total";"Total";"50 to 54 years";"B-F Manifacturing and energy";"2020*";169
"Total";"Total";"50 to 54 years";"B-E Industry (no construction), energy";"2020*";124
"Total";"Total";"50 to 54 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"50 to 54 years";"C Manufacturing";"2020*";114
"Total";"Total";"50 to 54 years";"D Energy supply";"2020*";4
"Total";"Total";"50 to 54 years";"E Water supply and waste management";"2020*";6
"Total";"Total";"50 to 54 years";"F Construction";"2020*";44
"Total";"Total";"50 to 54 years";"G-N Commercial services";"2020*";423
"Total";"Total";"50 to 54 years";"G-I Trade, transport, hotels, catering";"2020*";201
"Total";"Total";"50 to 54 years";"G Wholesale and retail trade";"2020*";128
"Total";"Total";"50 to 54 years";"H Transportation and storage";"2020*";52
"Total";"Total";"50 to 54 years";"I Accommodation and food serving";"2020*";21
"Total";"Total";"50 to 54 years";"J Information and communication";"2020*";29
"Total";"Total";"50 to 54 years";"K Financial institutions";"2020*";42
"Total";"Total";"50 to 54 years";"L Renting, buying, selling real estate";"2020*";9
"Total";"Total";"50 to 54 years";"M-N Business services";"2020*";144
"Total";"Total";"50 to 54 years";"M Other specialised business services";"2020*";58
"Total";"Total";"50 to 54 years";"N Renting and other business support";"2020*";86
"Total";"Total";"50 to 54 years";"O-U Noncommercial services";"2020*";336
"Total";"Total";"50 to 54 years";"O-Q Government and care";"2020*";308
"Total";"Total";"50 to 54 years";"O Public administration and services";"2020*";76
"Total";"Total";"50 to 54 years";"P Education";"2020*";59
"Total";"Total";"50 to 54 years";"Q Health and social work activities";"2020*";173
"Total";"Total";"50 to 54 years";"R-U Culture, recreation, other services";"2020*";27
"Total";"Total";"50 to 54 years";"R Culture, sports and recreation";"2020*";13
"Total";"Total";"50 to 54 years";"S Other service activities";"2020*";15
"Total";"Total";"55 to 59 years";"A-U All economic activities";"2020*";859
"Total";"Total";"55 to 59 years";"A-F Agriculture and industry";"2020*";163
"Total";"Total";"55 to 59 years";"A Agriculture, forestry and fishing";"2020*";9
"Total";"Total";"55 to 59 years";"B-F Manifacturing and energy";"2020*";154
"Total";"Total";"55 to 59 years";"B-E Industry (no construction), energy";"2020*";117
"Total";"Total";"55 to 59 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"55 to 59 years";"C Manufacturing";"2020*";107
"Total";"Total";"55 to 59 years";"D Energy supply";"2020*";4
"Total";"Total";"55 to 59 years";"E Water supply and waste management";"2020*";5
"Total";"Total";"55 to 59 years";"F Construction";"2020*";37
"Total";"Total";"55 to 59 years";"G-N Commercial services";"2020*";346
"Total";"Total";"55 to 59 years";"G-I Trade, transport, hotels, catering";"2020*";169
"Total";"Total";"55 to 59 years";"G Wholesale and retail trade";"2020*";101
"Total";"Total";"55 to 59 years";"H Transportation and storage";"2020*";51
"Total";"Total";"55 to 59 years";"I Accommodation and food serving";"2020*";17
"Total";"Total";"55 to 59 years";"J Information and communication";"2020*";20
"Total";"Total";"55 to 59 years";"K Financial institutions";"2020*";31
"Total";"Total";"55 to 59 years";"L Renting, buying, selling real estate";"2020*";8
"Total";"Total";"55 to 59 years";"M-N Business services";"2020*";117
"Total";"Total";"55 to 59 years";"M Other specialised business services";"2020*";46
"Total";"Total";"55 to 59 years";"N Renting and other business support";"2020*";71
"Total";"Total";"55 to 59 years";"O-U Noncommercial services";"2020*";351
"Total";"Total";"55 to 59 years";"O-Q Government and care";"2020*";325
"Total";"Total";"55 to 59 years";"O Public administration and services";"2020*";82
"Total";"Total";"55 to 59 years";"P Education";"2020*";63
"Total";"Total";"55 to 59 years";"Q Health and social work activities";"2020*";180
"Total";"Total";"55 to 59 years";"R-U Culture, recreation, other services";"2020*";25
"Total";"Total";"55 to 59 years";"R Culture, sports and recreation";"2020*";12
"Total";"Total";"55 to 59 years";"S Other service activities";"2020*";13
"Total";"Total";"60 to 64 years";"A-U All economic activities";"2020*";625
"Total";"Total";"60 to 64 years";"A-F Agriculture and industry";"2020*";116
"Total";"Total";"60 to 64 years";"A Agriculture, forestry and fishing";"2020*";6
"Total";"Total";"60 to 64 years";"B-F Manifacturing and energy";"2020*";110
"Total";"Total";"60 to 64 years";"B-E Industry (no construction), energy";"2020*";83
"Total";"Total";"60 to 64 years";"B Mining and quarrying ";"2020*";1
"Total";"Total";"60 to 64 years";"C Manufacturing";"2020*";76
"Total";"Total";"60 to 64 years";"D Energy supply";"2020*";3
"Total";"Total";"60 to 64 years";"E Water supply and waste management";"2020*";4
"Total";"Total";"60 to 64 years";"F Construction";"2020*";27
"Total";"Total";"60 to 64 years";"G-N Commercial services";"2020*";232
"Total";"Total";"60 to 64 years";"G-I Trade, transport, hotels, catering";"2020*";117
"Total";"Total";"60 to 64 years";"G Wholesale and retail trade";"2020*";66
"Total";"Total";"60 to 64 years";"H Transportation and storage";"2020*";40
"Total";"Total";"60 to 64 years";"I Accommodation and food serving";"2020*";12
"Total";"Total";"60 to 64 years";"J Information and communication";"2020*";12
"Total";"Total";"60 to 64 years";"K Financial institutions";"2020*";20
"Total";"Total";"60 to 64 years";"L Renting, buying, selling real estate";"2020*";6
"Total";"Total";"60 to 64 years";"M-N Business services";"2020*";77
"Total";"Total";"60 to 64 years";"M Other specialised business services";"2020*";30
"Total";"Total";"60 to 64 years";"N Renting and other business support";"2020*";47
"Total";"Total";"60 to 64 years";"O-U Noncommercial services";"2020*";277
"Total";"Total";"60 to 64 years";"O-Q Government and care";"2020*";258
"Total";"Total";"60 to 64 years";"O Public administration and services";"2020*";64
"Total";"Total";"60 to 64 years";"P Education";"2020*";60
"Total";"Total";"60 to 64 years";"Q Health and social work activities";"2020*";134
"Total";"Total";"60 to 64 years";"R-U Culture, recreation, other services";"2020*";20
"Total";"Total";"60 to 64 years";"R Culture, sports and recreation";"2020*";9
"Total";"Total";"60 to 64 years";"S Other service activities";"2020*";10
"Total";"Total";"65 to 74 years";"A-U All economic activities";"2020*";193
"Total";"Total";"65 to 74 years";"A-F Agriculture and industry";"2020*";32
"Total";"Total";"65 to 74 years";"A Agriculture, forestry and fishing";"2020*";3
"Total";"Total";"65 to 74 years";"B-F Manifacturing and energy";"2020*";29
"Total";"Total";"65 to 74 years";"B-E Industry (no construction), energy";"2020*";21
"Total";"Total";"65 to 74 years";"B Mining and quarrying ";"2020*";0
"Total";"Total";"65 to 74 years";"C Manufacturing";"2020*";19
"Total";"Total";"65 to 74 years";"D Energy supply";"2020*";1
"Total";"Total";"65 to 74 years";"E Water supply and waste management";"2020*";1
"Total";"Total";"65 to 74 years";"F Construction";"2020*";8
"Total";"Total";"65 to 74 years";"G-N Commercial services";"2020*";99
"Total";"Total";"65 to 74 years";"G-I Trade, transport, hotels, catering";"2020*";50
"Total";"Total";"65 to 74 years";"G Wholesale and retail trade";"2020*";27
"Total";"Total";"65 to 74 years";"H Transportation and storage";"2020*";17
"Total";"Total";"65 to 74 years";"I Accommodation and food serving";"2020*";5
"Total";"Total";"65 to 74 years";"J Information and communication";"2020*";3
"Total";"Total";"65 to 74 years";"K Financial institutions";"2020*";10
"Total";"Total";"65 to 74 years";"L Renting, buying, selling real estate";"2020*";3
"Total";"Total";"65 to 74 years";"M-N Business services";"2020*";34
"Total";"Total";"65 to 74 years";"M Other specialised business services";"2020*";13
"Total";"Total";"65 to 74 years";"N Renting and other business support";"2020*";21
"Total";"Total";"65 to 74 years";"O-U Noncommercial services";"2020*";62
"Total";"Total";"65 to 74 years";"O-Q Government and care";"2020*";54
"Total";"Total";"65 to 74 years";"O Public administration and services";"2020*";13
"Total";"Total";"65 to 74 years";"P Education";"2020*";14
"Total";"Total";"65 to 74 years";"Q Health and social work activities";"2020*";27
"Total";"Total";"65 to 74 years";"R-U Culture, recreation, other services";"2020*";8
"Total";"Total";"65 to 74 years";"R Culture, sports and recreation";"2020*";3
"Total";"Total";"65 to 74 years";"S Other service activities";"2020*";4
"Total";"Total";"75 years or older";"A-U All economic activities";"2020*";14
"Total";"Total";"75 years or older";"A-F Agriculture and industry";"2020*";2
"Total";"Total";"75 years or older";"A Agriculture, forestry and fishing";"2020*";1
"Total";"Total";"75 years or older";"B-F Manifacturing and energy";"2020*";2
"Total";"Total";"75 years or older";"B-E Industry (no construction), energy";"2020*";1
"Total";"Total";"75 years or older";"B Mining and quarrying ";"2020*";0
"Total";"Total";"75 years or older";"C Manufacturing";"2020*";1
"Total";"Total";"75 years or older";"D Energy supply";"2020*";0
"Total";"Total";"75 years or older";"E Water supply and waste management";"2020*";0
"Total";"Total";"75 years or older";"F Construction";"2020*";1
"Total";"Total";"75 years or older";"G-N Commercial services";"2020*";11
"Total";"Total";"75 years or older";"G-I Trade, transport, hotels, catering";"2020*";5
"Total";"Total";"75 years or older";"G Wholesale and retail trade";"2020*";3
"Total";"Total";"75 years or older";"H Transportation and storage";"2020*";1
"Total";"Total";"75 years or older";"I Accommodation and food serving";"2020*";0
"Total";"Total";"75 years or older";"J Information and communication";"2020*";0
"Total";"Total";"75 years or older";"K Financial institutions";"2020*";2
"Total";"Total";"75 years or older";"L Renting, buying, selling real estate";"2020*";1
"Total";"Total";"75 years or older";"M-N Business services";"2020*";3
"Total";"Total";"75 years or older";"M Other specialised business services";"2020*";1
"Total";"Total";"75 years or older";"N Renting and other business support";"2020*";1
"Total";"Total";"75 years or older";"O-U Noncommercial services";"2020*";2
"Total";"Total";"75 years or older";"O-Q Government and care";"2020*";1
