,Competence Features,BertForSequenceClassification SHAP Values
790,example,0.6642499764760336
793,ups ,0.6628231927752495
794,communication,0.6620788715081289
799,proposition,0.659158746546988
801,imitation,0.656648158095777
804,improving ,0.6554547506144329
807,lightweight ,0.6523328544571996
810,Use ,0.6497394610196352
812,dynamic ,0.6471515741626112
813,legislation,0.6468996167182922
818,Traders ,0.6426009949230189
821,involving ,0.6397146806120872
823,Netflix ,0.6374971717596054
825,characterized ,0.6363373715430498
830,perspective,0.6336994892917573
831,migration,0.632945287017113
834,ive,0.6299457177519798
835,seize ,0.6292147440835834
836,balance ,0.6291392890199397
838,quick ,0.6287659551016986
848,technicians ,0.6208396919537336
857,possibilities ,0.6120459083467722
859,large ,0.6108061401270485
864,publication,0.6082061687484384
865,enforcement ,0.6081978157162666
866,developed ,0.6080171067820629
870,defense ,0.6053533063968644
871,third ,0.6044054314024834
874,hoc ,0.6020999662578106
882,B ,0.5910750068724155
885,architect ,0.5893362388014793
886,rapidly ,0.588304840028286
887,X,0.5864696990077694
888,first,0.5854995865374804
890,guide ,0.5821520448953379
891,despite ,0.5816104924306273
892,changes ,0.5802958160638809
894,acknowledge,0.5795197021216154
895,Illustrator,0.5791154205799103
902,personality ,0.5727915863196055
903,pot,0.5720687506836839
904,words ,0.5719373151659966
907,Counsel ,0.5710253994911909
911,entrepreneurs,0.5682510912418366
912,Terra,0.5680170562118292
913,ura,0.5677021312959758
915,improvement ,0.5675376815100511
921,replication,0.5603204094804823
923,dilemma,0.5599213639099616
924,challenge ,0.5587571970225681
927,clear ,0.5543508452296307
930,usage ,0.5509766973555088
933,campaigns ,0.5489874886843609
934,Mac ,0.5485572516918182
935,strengths ,0.5472043231129646
936,process ,0.5467312944150141
938,maintenance ,0.5454265795396287
942,grown ,0.5399568186621764
944,evidenced ,0.539013225119561
945,searching ,0.5387637903913856
948,similar ,0.5350122601957992
951,ful ,0.5340701569803059
952,cockpit,0.5322087757910291
957,efforts ,0.5285812051733956
958,SEO ,0.5274886786937714
960,multi,0.5258484050925475
962,renewable ,0.5247686223204558
971,ships,0.5178705155849457
972,los,0.516054930863902
974,curiosity,0.5150611400604248
975,establish ,0.5141223445534706
977,event ,0.5124156152855398
978,Q,0.5114937982677171
981,rap,0.5064655027817935
982,range ,0.5063893608936876
985,Get ,0.5032162219285965
986,lot ,0.502684729603061
987,organized,0.5021072179079056
992,machine ,0.49859174457378685
994,using ,0.49775513847513747
996,advance ,0.49615684804683996
998,air ,0.49518165801418945
1000,Microsoft ,0.4926416107919067
1001,targets ,0.49215916357934475
1004,assured ,0.4907848136499524
1005,paperwork,0.49036109214648604
1007,tas,0.48714739571141263
1011,delivered ,0.48452825006097555
1013,ities ,0.4840194843709469
1014,Net,0.4835623502731323
1019,isation ,0.4775082543492317
1023,big ,0.4746551458956674
1025,Media ,0.4737835781853364
1027,Clearly,0.4704582691192627
1028,Resources ,0.4692041799426079
1032,areas,0.46586246756245
1035,steps,0.46262393752112985
1038,add ,0.46145251393318176
1039,Collaborate,0.4609832763671875
1040,spans ,0.46095265892250203
1041,Besides ,0.4608139395713806
1044,Animation,0.4586074486064414
1047,banking ,0.4571823915466666
1050,container ,0.45610260803368874
1051,brand ,0.4558584714929263
1060,audio ,0.44733751751482487
1067,proof ,0.44103854804416187
1069,proposals ,0.44060419547992447
1070,progression,0.4404296714346856
1076,aries,0.43439100418860715
1077,storage ,0.4319504088533688
1079,regions ,0.43170227110385895
1088,ble ,0.42747613904066384
1089,Acquisition ,0.4270881237462163
1090,could ,0.42696654616156593
1092,culture,0.4254978820681572
1093,Someone ,0.4226419925689697
1095,int,0.422124519944191
1096,way ,0.42197078466415405
1098,Key ,0.4213001373379181
1099,opportunity ,0.4203062843772509
1102,ary ,0.419818639755249
1105,che,0.4142233431339264
1108,passion,0.4132341742515564
1112,environment,0.4121202557801735
1115,Cyber ,0.4103634029431435
1131,Natural ,0.4030753970146179
1133,Lia,0.40266718963781994
1137,experiences,0.4003664427204058
1140,realize ,0.3991003101381163
1145,variety ,0.3967981454450637
1149,opportunities,0.39523705169891143
1152,right,0.393359512090683
1153,consuming ,0.3930746912956238
1154,electromagnetic ,0.39267849190439325
1157,Dashboard,0.3912019915878773
1162,g,0.38696111539999645
1163,channel ,0.3856574933064015
1164,urgency,0.38457885663956404
1171,avoid ,0.379086397588253
1172,something ,0.3777453675866127
1180,doc,0.37594759464263916
1185,minimal ,0.37358071841299534
1186,privacy ,0.3730565010018836
1187,release ,0.37277006078511477
1198,Peg,0.3656564950942993
1199,analyst ,0.365609941072762
1202,known ,0.36440275516361
1207,international ,0.3599530404901084
1209,thought ,0.359380677031974
1211,topic ,0.35585527002695017
1214,con,0.35512274836849733
1218,Wholesale ,0.3509534141048789
1221,N,0.3502605161629617
1225,reach ,0.34879399044439197
1226,cause ,0.34873910434544086
1231,sty ,0.34587639570236206
1233,trade,0.3449747847651856
1235,helps ,0.34478824485891635
1238,conclusions ,0.34382073713156086
1239,ual ,0.3427787869082143
1243,rig,0.34115561842918396
1249,preferred,0.33879851922392845
1253,owned ,0.3381966557353735
1256,independent ,0.3370419442653656
1257,aligned ,0.3370399426233459
1258,leg,0.3350784198846668
1259,corporate ,0.3347524718459075
1262,fruit ,0.3337705135345459
1263,craft ,0.3332301179205792
1267,Depending ,0.3323245048522949
1269,incidents ,0.3314787435034911
1275,tasks ,0.32867382459759636
1280,ies ,0.32660259621010884
1284,economics,0.3243132159113884
1285,various ,0.32367283892300397
1286,discovery ,0.3235538452863693
1287,gym ,0.32314668595790863
1295,accountable ,0.31660378941127826
1300,founder ,0.3141350746154785
1302,hip,0.31156172199795645
1306,trainer ,0.3101031571859494
1312,based,0.3084279930529495
1315,mod,0.30714521557092667
1317,climate ,0.3064469565951084
1319,deviation,0.30580463632941246
1320,job,0.3053077697986737
1325,classed ,0.30324311554431915
1328,tiv,0.3012369807576761
1336,precise,0.2983884811401367
1337,certain ,0.2975607216358185
1341,might ,0.29691509418189527
1345,heartbeat ,0.29360353644005954
1347,Renaissance ,0.2918204367160797
1348,relations ,0.2917163597885519
1350,recognition ,0.2910950779914856
1352,Incentive ,0.2900913953781128
1355,obstacles,0.2878754734992981
1363,world,0.2850732856390209
1366,human ,0.28418681398034096
1367,ing ,0.2838697418553272
1368,mal,0.2828399183228612
1371,serving ,0.28176446771249175
1373,likes ,0.28105656802654266
1374,interceptor,0.2809433999160926
1376,set ,0.28056908305734396
1378,forms ,0.2800998042027156
1380,legal ,0.2799318255856633
1384,designers,0.27760132774710655
1387,count ,0.2770356796681881
1395,fully ,0.2724694060723091
1396,tight ,0.27209361642599106
1400,provision,0.2693769372999668
1403,chronic ,0.26876366543583574
1407,forward,0.26635481375786996
1409,Bio,0.2657705719869155
1412,sit,0.2642585580101392
1414,ethical ,0.26352774910628796
1419,calls ,0.2606101186458199
1424,adapt ,0.259567579254508
1429,backing ,0.2558754583199819
1430,bound,0.2555662542581558
1431,point,0.25483316245178383
1433,front,0.25428825182219345
1436,tel,0.2527722083032131
1438,tum ,0.2520563006401062
1444,picture ,0.24939026217907667
1448,project,0.24816206006798894
1449,try ,0.24789365706965327
1451,chain,0.24739005416631699
1455,Science,0.24615463614463806
1457,freight ,0.24482211703434587
1458,focus ,0.24471136256184728
1462,super ,0.2423570012518515
1463,correct ,0.2422884926199913
1466,looking ,0.24083655992626227
1472,sound ,0.2393987454706803
1477,gen ,0.2372954817226109
1479,ovo ,0.23552363365888596
1480,roles ,0.2342928506433964
1486,promotion ,0.23217494739219546
1487,offered ,0.2308773836120963
1494,Hospitality ,0.2290794907603413
1497,ambitions,0.22836476378142834
1500,interventions,0.22777884236226478
1504,website ,0.22727085359546767
1506,heart ,0.22707035789305033
1512,ncy ,0.22488322108983994
1513,Accepting ,0.2229844331741333
1516,details ,0.22172932233661413
1518,P ,0.22066771651547498
1526,several ,0.21707204560802085
1529,eliminating ,0.2164309131912887
1534,sharing,0.21381090333064398
1536,ening ,0.2128387329139514
1538,purpose,0.21277054501514808
1539,approximately ,0.2126906417652208
1540,character,0.21218549543603635
1549,demands,0.20727287977933884
1550,yna,0.2067210630630143
1551,therefore ,0.20613564550876617
1553,environmental ,0.20497533084926545
1555,mic ,0.20343768160091713
1558,employs ,0.2023499058559537
1560,towards ,0.20187022943485028
1562,ced ,0.20068245784689984
1563,K,0.20045019825241372
1566,rigue,0.19964559376239777
1568,six,0.19928188621997833
1572,act ,0.19867689549573697
1574,Swedish ,0.19747576713562012
1583,start,0.19300297227528063
1589,vessels ,0.19066892509969574
1592,investors ,0.1897137499756168
1593,conjunction ,0.18955810235014983
1594,paper ,0.1890602819621563
1596,Inventory,0.18781769794545003
1601,introductions ,0.18540844321250916
1608,due ,0.18207413097843528
1611,sho,0.1811733062689503
1612,secondary ,0.18106353655457497
1616,ity,0.18041564766317605
1617,account ,0.18034788109362127
1626,App ,0.17669066515130302
1628,clients,0.17649319175397976
1629,stand,0.176278796667854
1631,new ,0.17480433187356423
1639,exclusive ,0.1714514158666134
1640,low ,0.17131201858865097
1641,would ,0.1705392748117447
1643,ishment ,0.17032574605019318
1644,Authorization ,0.17026035225523325
1647,one ,0.16779889574246382
1648,build ,0.16776411051361248
1650,Rep,0.16752713754595744
1651,len,0.16752713754595744
1652,jug,0.16622196465420228
1653,gle ,0.16622196465420228
1658,factors ,0.16492514262596766
1659,genuine ,0.1632746160030365
1660,vibration,0.1632298957556486
1663,Perform ,0.16180401420112048
1664,landscape ,0.16167159002604117
1666,every ,0.16058782935142515
1669,Sam ,0.16017666459083557
1673,cross,0.15890962565317748
1677,hours ,0.15695781470276415
1678,hem,0.15664942126022652
1681,sense ,0.1559345448371388
1689,whether ,0.1520247682929039
1692,Rei,0.1511133760213852
1693,renewal ,0.1508105935146367
1705,warehouse,0.14853069186210632
1706,Service,0.14733115505724628
1708,finance,0.1465186137900067
1711,careers,0.14528509229421616
1715,merchants,0.14319334095343947
1720,Panda ,0.14207839965820312
1721,nic,0.1419171085789068
1726,rring ,0.14063653768971562
1727,cap ,0.14035514020361006
1729,old ,0.14030121018489203
1732,Regular ,0.13881349563598633
1733,committed,0.1382845012897936
1737,Executive ,0.1373845632188022
1740,rules ,0.13623981922864914
1741,bring ,0.13622515089809895
1745,rel,0.13561183214187622
1746,spa,0.13558456720784307
1750,stake,0.13430181224248372
1755,C,0.13364704698324203
1757,U,0.13314937906883037
1763,units,0.1309508296350638
1764,minus ,0.13045605905354024
1765,allow ,0.13043298010068777
1769,suppliers ,0.1297370847023558
1770,final ,0.12954600754358883
1775,fashionable ,0.12798603413960874
1778,users,0.12695335946304517
1786,controllers,0.12393045198723315
1792,ali,0.12280557615708354
1795,eding,0.12246349453926086
1796,enjoy ,0.12222719297149322
1801,sheet ,0.12070776701175265
1806,trainee,0.11884385719895363
1807,early ,0.1184601565886639
1808,operating ,0.11844617196516147
1811,fit ,0.11808614153414965
1813,ample ,0.11729938769713044
1816,Mer,0.1163473092019558
1822,parts ,0.11504980729391369
1825,subjected ,0.11419594287872314
1830,non,0.11317060061264783
1834,sum,0.1121015059761703
1836,varying ,0.11164942383766174
1839,Alvarez ,0.11087310212074127
1842,degrees ,0.10939178651509185
1845,special ,0.10900080801608662
1847,may ,0.10827604832229554
1850,without ,0.10621101926464771
1852,aim ,0.10472701986630757
1853,l ,0.104700018731819
1855,organizations ,0.10411602711643685
1862,pin,0.10126505047082901
1863,ici,0.10112858895445243
1872,F,0.09828798438276543
1873,genetic ,0.09813758815799989
1875,vitro ,0.09804092208755069
1876,experiments ,0.09804092208755069
1878,phase ,0.09716033935546875
1879,dis,0.09709012066014111
1880,phone,0.09675490856170654
1888,PIs,0.09514493959529015
1898,consumers,0.0914373251143843
1901,ISA,0.090069600691398
1903,consolidation ,0.09004421106783675
1904,align,0.09001159551553428
1907,different ,0.08870159532641232
1908,kit,0.08863720924654488
1912,gal,0.08815702938267754
1916,needs,0.08695776355165727
1918,kinds ,0.08653527560333411
1921,dos,0.08608385857086683
1932,bei,0.08232426643371582
1935,Ready ,0.08165315352380276
1940,presented ,0.0811489773914218
1943,zed ,0.08054376905784011
1947,regulations ,0.07984498062481483
1955,ure,0.07841256260871887
1959,broadly ,0.07742735743522644
1960,capital ,0.0773654580116272
1961,luxurious ,0.07696692844231923
1964,closing ,0.07612503512382149
1965,monthly ,0.07612503512382149
1966,inner,0.07568843103945255
1969,lawyers ,0.07426735805347562
1973,collaborating ,0.07278435304760933
1974,AVAILABLE,0.07257497310638428
1980,order ,0.06934030764830476
1987,Tesla,0.06717133522033691
1989,end ,0.06670251721516252
1992,SIS ,0.06537739397026598
1995,graph,0.06509920954704285
1996,including ,0.06497273222703903
1997,current ,0.0645317222030523
2004,matters ,0.06362799917281207
2008,cht ,0.062180663561307345
2009,answers ,0.061424389481544495
2022,sizes,0.05946984887123108
2025,gives ,0.05877203866839409
2028,means ,0.05806729942560196
2029,uit,0.05778928784032663
2033,version ,0.05718765844324689
2034,put ,0.057007841765880585
2035,application ,0.056336018696634294
2037,buy,0.05509242791449651
2039,completed ,0.05475643277168274
2041,appropriately ,0.05418059090152383
2042,water ,0.05413241808613141
2046,North ,0.05373905609594658
2050,finding ,0.05202683347410389
2052,interaction ,0.05088823664020921
2053,limited ,0.05052733394253698
2057,ius,0.04915208959331115
2058,budgets ,0.04909724782465027
2061,hai,0.04767121576393644
2064,Booking ,0.04618210345506668
2069,cover ,0.04339665826410055
2080,screening,0.041526080667972566
2081,applied ,0.041483283042907715
2082,history ,0.04061956914407866
2085,context,0.04008758068084717
2086,FCC,0.03986461146041527
2087,legally ,0.03963044434785843
2088,characteristics,0.03963044434785843
2089,partnership ,0.03933411721254713
2090,Group,0.039237624296629935
2091,boats,0.03914803206059856
2094,sensory ,0.03794149118993018
2099,j ,0.03684017062187195
2101,union ,0.03608004462860879
2102,civil ,0.03608004462860879
2104,man,0.03574012219905853
2106,hol,0.034911394119262695
2107,board,0.03487045401042061
2108,medical ,0.034538126813251496
2111,outside ,0.033550798657120434
2115,let,0.032765943763984576
2117,pregnancy,0.03264494603499771
2119,taxis,0.032469190346697964
2127,doe,0.030266200502713524
2129,Grand ,0.029972317318121593
2130,stating ,0.02996860444545746
2133,https,0.02925446629524231
2136,shore,0.028760417157577142
2138,Jewellery ,0.028656698763370514
2139,rik,0.02861863374710083
2141,recruitment ,0.028085774183273314
2144,considers ,0.027110467580231754
2147,differences,0.026922096808751423
2148,amazing ,0.026738151907920837
2154,appointed ,0.025687602162361146
2155,izing ,0.025062918569892643
2156,ports,0.02480637620274837
2157,explain ,0.024149488968153797
2159,VIA,0.024022706382675098
2160,ppe,0.023887794961531955
2164,press ,0.02280343700909898
2167,ivate ,0.022532999515533447
2169,whole,0.022461404403050743
2171,Worth ,0.022213485269319443
2175,ari ,0.02213910222053528
2179,marital,0.0215639548169242
2184,study,0.0205860435962677
2185,sources ,0.02050109257300695
2190,ory ,0.019543632864952087
2191,small ,0.019524646131685586
2195,GAA,0.018034795960503468
2196,geo,0.018030285835266113
2204,closely ,0.01714667310790938
2209,Ghost ,0.01633491739630699
2215,HIV ,0.012440340965986254
2224,deter ,0.011451661866158248
2228,ted ,0.010390236566308886
2232,addressed ,0.009283200278878212
2233,comfortable ,0.008942093700170517
2235,alongside ,0.00769180644820238
2241,got ,0.0068882708204910156
2244,ice,0.0065018534660339355
2245,R,0.0061300142944674015
2250,Ferrari,0.003960559765497843
2253,partnered ,0.0030350040708087447
2256,journey,0.002609517176946005
2260,ising ,0.002062431453183914
2267,Amsterdam ,0.0009628174723022529
2269,sex ,0.0007753425588210429
2277,gee,-0.0002490878105163574
2281,het ,-0.001171007752418518
2282,locations ,-0.001544133553074466
2284,Since ,-0.0028917599535946345
2285,Royal ,-0.0033495988206398834
2288,vis,-0.0036082654182488724
2290,Boo,-0.003881799181302388
2291,dae,-0.003881799181302388
2293,overnight ,-0.004472523927688599
2295,reference ,-0.0047086474757331125
2296,think ,-0.00535360467620194
2300,ire,-0.006150487687561539
2304,ink ,-0.0065629288762268775
2308,condition,-0.007089138031005859
2309,groceries ,-0.007290109992027283
2312,han,-0.007897023323623999
2314,takes ,-0.008525431156158447
2318,state ,-0.009082662913267717
2322,community,-0.010686888975194753
2324,qualified ,-0.011191510262766047
2326,eke,-0.011405517657597862
2330,Fishing ,-0.012220999908943972
2334,Antique ,-0.013998053967952728
2335,hee,-0.01421653727690379
2336,nel ,-0.014493618372528418
2343,short ,-0.017082710866816342
2347,ene,-0.01802483048467409
2348,verdi,-0.01802483048467409
2350,Dam ,-0.018368708208585396
2353,leave,-0.018856443588932355
2355,equally ,-0.019294493122115022
2359,already ,-0.02229325659573078
2361,class ,-0.023615480078085935
2364,goods ,-0.024242909625172615
2365,authentic ,-0.024252255757649742
2369,South ,-0.024981318834969513
2374,speaker,-0.025723616282145187
2375,bet,-0.02648693488703834
2379,extra ,-0.027397702634334564
2382,hui,-0.028011679649353027
2385,ord,-0.028805971145629883
2386,communities ,-0.0288640504082044
2387,mixed ,-0.029284775257110596
2389,backgrounds,-0.02972497146887084
2390,knows ,-0.02981079276651144
2396,bit,-0.03027500013510386
2399,spend ,-0.031594836711883546
2400,sectors,-0.03180001676082611
2407,ige ,-0.03318651020526886
2409,day,-0.033713664890577394
2415,een,-0.03602926433086395
2421,gem,-0.03738905489444733
2423,music ,-0.03744490444660187
2425,healthy ,-0.037721870195431016
2427,Authorities,-0.038750055859175826
2431,zen,-0.04026029507319133
2432,currently ,-0.040325419880294554
2433,eli,-0.04056747257709503
2435,rda,-0.04078731647668741
2438,affiliation,-0.04162568305477952
2439,political ,-0.04162568305477952
2440,veteran ,-0.041735286062413994
2442,afternoon ,-0.0430128276348114
2444,Kuala ,-0.04335797421663301
2445,two ,-0.043590247631073
2451,candidate ,-0.0454020936140847
2454,basis ,-0.04755916189438162
2457,floor ,-0.04808662086725235
2461,questions,-0.04937513868014018
2462,rou,-0.04947546592780522
2463,bil,-0.049659937620162964
2464,jan ,-0.05033555626869202
2470,wen,-0.051217858706201824
2471,protected ,-0.051739535454397245
2475,ers,-0.05337860683600108
2477,kar ,-0.053526920080184934
2478,dit,-0.05353140830993652
2483,age,-0.05534523309420341
