,Sex of employee,Type of employment contract,Other characteristics employee,Industry class / branch (SIC2008),Periods,Employment/Jobs (x 1 000)
912,Total,Total,15 to 19 years,"A Agriculture, forestry and fishing",2020,19.0
927,Total,Total,15 to 19 years,B-F Manifacturing and energy,2020,34.0
942,Total,Total,15 to 19 years,"B-E Industry (no construction), energy",2020,22.0
957,Total,Total,15 to 19 years,B Mining and quarrying ,2020,0.0
972,Total,Total,15 to 19 years,C Manufacturing,2020,22.0
987,Total,Total,15 to 19 years,D Energy supply,2020,0.0
1002,Total,Total,15 to 19 years,E Water supply and waste management,2020,0.0
1017,Total,Total,15 to 19 years,F Construction,2020,12.0
1032,Total,Total,15 to 19 years,G-N Commercial services,2020,501.0
1047,Total,Total,15 to 19 years,"G-I Trade, transport, hotels, catering",2020,419.0
1062,Total,Total,15 to 19 years,G Wholesale and retail trade,2020,297.0
1077,Total,Total,15 to 19 years,H Transportation and storage,2020,9.0
1092,Total,Total,15 to 19 years,I Accommodation and food serving,2020,113.0
1107,Total,Total,15 to 19 years,J Information and communication,2020,5.0
1122,Total,Total,15 to 19 years,K Financial institutions,2020,2.0
1137,Total,Total,15 to 19 years,"L Renting, buying, selling real estate",2020,1.0
1152,Total,Total,15 to 19 years,M-N Business services,2020,73.0
1167,Total,Total,15 to 19 years,M Other specialised business services,2020,10.0
1182,Total,Total,15 to 19 years,N Renting and other business support,2020,63.0
1197,Total,Total,15 to 19 years,O-U Noncommercial services,2020,78.0
1212,Total,Total,15 to 19 years,O-Q Government and care,2020,60.0
1227,Total,Total,15 to 19 years,O Public administration and services,2020,6.0
1242,Total,Total,15 to 19 years,P Education,2020,9.0
1257,Total,Total,15 to 19 years,Q Health and social work activities,2020,44.0
1272,Total,Total,15 to 19 years,"R-U Culture, recreation, other services",2020,18.0
1287,Total,Total,15 to 19 years,"R Culture, sports and recreation",2020,11.0
1302,Total,Total,15 to 19 years,S Other service activities,2020,7.0
1317,Total,Total,20 to 24 years,A-U All economic activities,2020,844.0
1332,Total,Total,20 to 24 years,A-F Agriculture and industry,2020,85.0
1347,Total,Total,20 to 24 years,"A Agriculture, forestry and fishing",2020,14.0
1362,Total,Total,20 to 24 years,B-F Manifacturing and energy,2020,70.0
1377,Total,Total,20 to 24 years,"B-E Industry (no construction), energy",2020,45.0
1392,Total,Total,20 to 24 years,B Mining and quarrying ,2020,0.0
1407,Total,Total,20 to 24 years,C Manufacturing,2020,43.0
1422,Total,Total,20 to 24 years,D Energy supply,2020,1.0
1437,Total,Total,20 to 24 years,E Water supply and waste management,2020,1.0
1452,Total,Total,20 to 24 years,F Construction,2020,25.0
1467,Total,Total,20 to 24 years,G-N Commercial services,2020,534.0
1482,Total,Total,20 to 24 years,"G-I Trade, transport, hotels, catering",2020,295.0
1497,Total,Total,20 to 24 years,G Wholesale and retail trade,2020,181.0
1512,Total,Total,20 to 24 years,H Transportation and storage,2020,27.0
1527,Total,Total,20 to 24 years,I Accommodation and food serving,2020,86.0
1542,Total,Total,20 to 24 years,J Information and communication,2020,23.0
1557,Total,Total,20 to 24 years,K Financial institutions,2020,9.0
1572,Total,Total,20 to 24 years,"L Renting, buying, selling real estate",2020,4.0
1587,Total,Total,20 to 24 years,M-N Business services,2020,204.0
1602,Total,Total,20 to 24 years,M Other specialised business services,2020,45.0
1617,Total,Total,20 to 24 years,N Renting and other business support,2020,159.0
1632,Total,Total,20 to 24 years,O-U Noncommercial services,2020,225.0
1647,Total,Total,20 to 24 years,O-Q Government and care,2020,190.0
1662,Total,Total,20 to 24 years,O Public administration and services,2020,22.0
1677,Total,Total,20 to 24 years,P Education,2020,36.0
1692,Total,Total,20 to 24 years,Q Health and social work activities,2020,132.0
1707,Total,Total,20 to 24 years,"R-U Culture, recreation, other services",2020,35.0
1722,Total,Total,20 to 24 years,"R Culture, sports and recreation",2020,21.0
1737,Total,Total,20 to 24 years,S Other service activities,2020,14.0
1752,Total,Total,25 to 29 years,A-U All economic activities,2020,931.0
1767,Total,Total,25 to 29 years,A-F Agriculture and industry,2020,112.0
1782,Total,Total,25 to 29 years,"A Agriculture, forestry and fishing",2020,10.0
1797,Total,Total,25 to 29 years,B-F Manifacturing and energy,2020,102.0
1812,Total,Total,25 to 29 years,"B-E Industry (no construction), energy",2020,70.0
1827,Total,Total,25 to 29 years,B Mining and quarrying ,2020,1.0
1842,Total,Total,25 to 29 years,C Manufacturing,2020,64.0
1857,Total,Total,25 to 29 years,D Energy supply,2020,2.0
1872,Total,Total,25 to 29 years,E Water supply and waste management,2020,3.0
1887,Total,Total,25 to 29 years,F Construction,2020,32.0
1902,Total,Total,25 to 29 years,G-N Commercial services,2020,523.0
1917,Total,Total,25 to 29 years,"G-I Trade, transport, hotels, catering",2020,217.0
1932,Total,Total,25 to 29 years,G Wholesale and retail trade,2020,137.0
1947,Total,Total,25 to 29 years,H Transportation and storage,2020,35.0
1962,Total,Total,25 to 29 years,I Accommodation and food serving,2020,45.0
1977,Total,Total,25 to 29 years,J Information and communication,2020,47.0
1992,Total,Total,25 to 29 years,K Financial institutions,2020,22.0
2007,Total,Total,25 to 29 years,"L Renting, buying, selling real estate",2020,6.0
2022,Total,Total,25 to 29 years,M-N Business services,2020,230.0
2037,Total,Total,25 to 29 years,M Other specialised business services,2020,82.0
2052,Total,Total,25 to 29 years,N Renting and other business support,2020,149.0
2067,Total,Total,25 to 29 years,O-U Noncommercial services,2020,296.0
2082,Total,Total,25 to 29 years,O-Q Government and care,2020,264.0
2097,Total,Total,25 to 29 years,O Public administration and services,2020,42.0
2112,Total,Total,25 to 29 years,P Education,2020,57.0
2127,Total,Total,25 to 29 years,Q Health and social work activities,2020,165.0
2142,Total,Total,25 to 29 years,"R-U Culture, recreation, other services",2020,32.0
2157,Total,Total,25 to 29 years,"R Culture, sports and recreation",2020,17.0
2172,Total,Total,25 to 29 years,S Other service activities,2020,15.0
2187,Total,Total,30 to 34 years,A-U All economic activities,2020,883.0
2202,Total,Total,30 to 34 years,A-F Agriculture and industry,2020,125.0
2217,Total,Total,30 to 34 years,"A Agriculture, forestry and fishing",2020,9.0
2232,Total,Total,30 to 34 years,B-F Manifacturing and energy,2020,116.0
2247,Total,Total,30 to 34 years,"B-E Industry (no construction), energy",2020,81.0
2262,Total,Total,30 to 34 years,B Mining and quarrying ,2020,1.0
2277,Total,Total,30 to 34 years,C Manufacturing,2020,73.0
2292,Total,Total,30 to 34 years,D Energy supply,2020,3.0
2307,Total,Total,30 to 34 years,E Water supply and waste management,2020,4.0
2322,Total,Total,30 to 34 years,F Construction,2020,35.0
2337,Total,Total,30 to 34 years,G-N Commercial services,2020,458.0
2352,Total,Total,30 to 34 years,"G-I Trade, transport, hotels, catering",2020,190.0
2367,Total,Total,30 to 34 years,G Wholesale and retail trade,2020,123.0
2382,Total,Total,30 to 34 years,H Transportation and storage,2020,38.0
2397,Total,Total,30 to 34 years,I Accommodation and food serving,2020,30.0
2412,Total,Total,30 to 34 years,J Information and communication,2020,49.0
2427,Total,Total,30 to 34 years,K Financial institutions,2020,29.0
2442,Total,Total,30 to 34 years,"L Renting, buying, selling real estate",2020,7.0
2457,Total,Total,30 to 34 years,M-N Business services,2020,183.0
2472,Total,Total,30 to 34 years,M Other specialised business services,2020,71.0
2487,Total,Total,30 to 34 years,N Renting and other business support,2020,112.0
2502,Total,Total,30 to 34 years,O-U Noncommercial services,2020,300.0
2517,Total,Total,30 to 34 years,O-Q Government and care,2020,273.0
2532,Total,Total,30 to 34 years,O Public administration and services,2020,50.0
2547,Total,Total,30 to 34 years,P Education,2020,63.0
2562,Total,Total,30 to 34 years,Q Health and social work activities,2020,159.0
2577,Total,Total,30 to 34 years,"R-U Culture, recreation, other services",2020,27.0
2592,Total,Total,30 to 34 years,"R Culture, sports and recreation",2020,13.0
2607,Total,Total,30 to 34 years,S Other service activities,2020,14.0
2622,Total,Total,35 to 39 years,A-U All economic activities,2020,807.0
2637,Total,Total,35 to 39 years,A-F Agriculture and industry,2020,126.0
2652,Total,Total,35 to 39 years,"A Agriculture, forestry and fishing",2020,8.0
2667,Total,Total,35 to 39 years,B-F Manifacturing and energy,2020,118.0
2682,Total,Total,35 to 39 years,"B-E Industry (no construction), energy",2020,82.0
2697,Total,Total,35 to 39 years,B Mining and quarrying ,2020,1.0
2712,Total,Total,35 to 39 years,C Manufacturing,2020,74.0
2727,Total,Total,35 to 39 years,D Energy supply,2020,4.0
2742,Total,Total,35 to 39 years,E Water supply and waste management,2020,4.0
2757,Total,Total,35 to 39 years,F Construction,2020,36.0
2772,Total,Total,35 to 39 years,G-N Commercial services,2020,400.0
2787,Total,Total,35 to 39 years,"G-I Trade, transport, hotels, catering",2020,170.0
2802,Total,Total,35 to 39 years,G Wholesale and retail trade,2020,110.0
2817,Total,Total,35 to 39 years,H Transportation and storage,2020,36.0
2832,Total,Total,35 to 39 years,I Accommodation and food serving,2020,23.0
2847,Total,Total,35 to 39 years,J Information and communication,2020,40.0
2862,Total,Total,35 to 39 years,K Financial institutions,2020,32.0
2877,Total,Total,35 to 39 years,"L Renting, buying, selling real estate",2020,7.0
2892,Total,Total,35 to 39 years,M-N Business services,2020,152.0
2907,Total,Total,35 to 39 years,M Other specialised business services,2020,60.0
2922,Total,Total,35 to 39 years,N Renting and other business support,2020,92.0
2937,Total,Total,35 to 39 years,O-U Noncommercial services,2020,280.0
2952,Total,Total,35 to 39 years,O-Q Government and care,2020,256.0
2967,Total,Total,35 to 39 years,O Public administration and services,2020,55.0
2982,Total,Total,35 to 39 years,P Education,2020,63.0
2997,Total,Total,35 to 39 years,Q Health and social work activities,2020,138.0
3012,Total,Total,35 to 39 years,"R-U Culture, recreation, other services",2020,24.0
3027,Total,Total,35 to 39 years,"R Culture, sports and recreation",2020,11.0
3042,Total,Total,35 to 39 years,S Other service activities,2020,13.0
3057,Total,Total,40 to 44 years,A-U All economic activities,2020,780.0
3072,Total,Total,40 to 44 years,A-F Agriculture and industry,2020,131.0
3087,Total,Total,40 to 44 years,"A Agriculture, forestry and fishing",2020,8.0
3102,Total,Total,40 to 44 years,B-F Manifacturing and energy,2020,123.0
3117,Total,Total,40 to 44 years,"B-E Industry (no construction), energy",2020,85.0
3132,Total,Total,40 to 44 years,B Mining and quarrying ,2020,1.0
3147,Total,Total,40 to 44 years,C Manufacturing,2020,77.0
3162,Total,Total,40 to 44 years,D Energy supply,2020,3.0
3177,Total,Total,40 to 44 years,E Water supply and waste management,2020,4.0
3192,Total,Total,40 to 44 years,F Construction,2020,38.0
3207,Total,Total,40 to 44 years,G-N Commercial services,2020,375.0
3222,Total,Total,40 to 44 years,"G-I Trade, transport, hotels, catering",2020,162.0
3237,Total,Total,40 to 44 years,G Wholesale and retail trade,2020,106.0
3252,Total,Total,40 to 44 years,H Transportation and storage,2020,36.0
3267,Total,Total,40 to 44 years,I Accommodation and food serving,2020,20.0
3282,Total,Total,40 to 44 years,J Information and communication,2020,31.0
3297,Total,Total,40 to 44 years,K Financial institutions,2020,34.0
3312,Total,Total,40 to 44 years,"L Renting, buying, selling real estate",2020,8.0
3327,Total,Total,40 to 44 years,M-N Business services,2020,140.0
3342,Total,Total,40 to 44 years,M Other specialised business services,2020,56.0
3357,Total,Total,40 to 44 years,N Renting and other business support,2020,84.0
3372,Total,Total,40 to 44 years,O-U Noncommercial services,2020,274.0
3387,Total,Total,40 to 44 years,O-Q Government and care,2020,251.0
3402,Total,Total,40 to 44 years,O Public administration and services,2020,59.0
3417,Total,Total,40 to 44 years,P Education,2020,60.0
3432,Total,Total,40 to 44 years,Q Health and social work activities,2020,132.0
3447,Total,Total,40 to 44 years,"R-U Culture, recreation, other services",2020,22.0
3462,Total,Total,40 to 44 years,"R Culture, sports and recreation",2020,10.0
3477,Total,Total,40 to 44 years,S Other service activities,2020,12.0
3492,Total,Total,45 to 49 years,A-U All economic activities,2020,867.0
3507,Total,Total,45 to 49 years,A-F Agriculture and industry,2020,157.0
3522,Total,Total,45 to 49 years,"A Agriculture, forestry and fishing",2020,10.0
3537,Total,Total,45 to 49 years,B-F Manifacturing and energy,2020,147.0
3552,Total,Total,45 to 49 years,"B-E Industry (no construction), energy",2020,105.0
3567,Total,Total,45 to 49 years,B Mining and quarrying ,2020,1.0
3582,Total,Total,45 to 49 years,C Manufacturing,2020,96.0
3597,Total,Total,45 to 49 years,D Energy supply,2020,3.0
3612,Total,Total,45 to 49 years,E Water supply and waste management,2020,5.0
3627,Total,Total,45 to 49 years,F Construction,2020,42.0
3642,Total,Total,45 to 49 years,G-N Commercial services,2020,414.0
3657,Total,Total,45 to 49 years,"G-I Trade, transport, hotels, catering",2020,187.0
3672,Total,Total,45 to 49 years,G Wholesale and retail trade,2020,123.0
3687,Total,Total,45 to 49 years,H Transportation and storage,2020,44.0
3702,Total,Total,45 to 49 years,I Accommodation and food serving,2020,20.0
3717,Total,Total,45 to 49 years,J Information and communication,2020,31.0
3732,Total,Total,45 to 49 years,K Financial institutions,2020,41.0
3747,Total,Total,45 to 49 years,"L Renting, buying, selling real estate",2020,9.0
3762,Total,Total,45 to 49 years,M-N Business services,2020,146.0
3777,Total,Total,45 to 49 years,M Other specialised business services,2020,58.0
3792,Total,Total,45 to 49 years,N Renting and other business support,2020,87.0
3807,Total,Total,45 to 49 years,O-U Noncommercial services,2020,296.0
3822,Total,Total,45 to 49 years,O-Q Government and care,2020,271.0
3837,Total,Total,45 to 49 years,O Public administration and services,2020,68.0
3852,Total,Total,45 to 49 years,P Education,2020,57.0
3867,Total,Total,45 to 49 years,Q Health and social work activities,2020,146.0
3882,Total,Total,45 to 49 years,"R-U Culture, recreation, other services",2020,25.0
3897,Total,Total,45 to 49 years,"R Culture, sports and recreation",2020,12.0
3912,Total,Total,45 to 49 years,S Other service activities,2020,13.0
3927,Total,Total,50 to 54 years,A-U All economic activities,2020,939.0
3942,Total,Total,50 to 54 years,A-F Agriculture and industry,2020,180.0
3957,Total,Total,50 to 54 years,"A Agriculture, forestry and fishing",2020,11.0
3972,Total,Total,50 to 54 years,B-F Manifacturing and energy,2020,169.0
3987,Total,Total,50 to 54 years,"B-E Industry (no construction), energy",2020,124.0
4002,Total,Total,50 to 54 years,B Mining and quarrying ,2020,1.0
4017,Total,Total,50 to 54 years,C Manufacturing,2020,114.0
4032,Total,Total,50 to 54 years,D Energy supply,2020,4.0
4047,Total,Total,50 to 54 years,E Water supply and waste management,2020,6.0
4062,Total,Total,50 to 54 years,F Construction,2020,45.0
4077,Total,Total,50 to 54 years,G-N Commercial services,2020,424.0
4092,Total,Total,50 to 54 years,"G-I Trade, transport, hotels, catering",2020,201.0
4107,Total,Total,50 to 54 years,G Wholesale and retail trade,2020,128.0
4122,Total,Total,50 to 54 years,H Transportation and storage,2020,52.0
4137,Total,Total,50 to 54 years,I Accommodation and food serving,2020,21.0
4152,Total,Total,50 to 54 years,J Information and communication,2020,29.0
4167,Total,Total,50 to 54 years,K Financial institutions,2020,42.0
4182,Total,Total,50 to 54 years,"L Renting, buying, selling real estate",2020,9.0
4197,Total,Total,50 to 54 years,M-N Business services,2020,143.0
4212,Total,Total,50 to 54 years,M Other specialised business services,2020,58.0
4227,Total,Total,50 to 54 years,N Renting and other business support,2020,85.0
4242,Total,Total,50 to 54 years,O-U Noncommercial services,2020,336.0
4257,Total,Total,50 to 54 years,O-Q Government and care,2020,308.0
4272,Total,Total,50 to 54 years,O Public administration and services,2020,76.0
4287,Total,Total,50 to 54 years,P Education,2020,59.0
4302,Total,Total,50 to 54 years,Q Health and social work activities,2020,173.0
4317,Total,Total,50 to 54 years,"R-U Culture, recreation, other services",2020,27.0
4332,Total,Total,50 to 54 years,"R Culture, sports and recreation",2020,13.0
4347,Total,Total,50 to 54 years,S Other service activities,2020,15.0
4362,Total,Total,55 to 59 years,A-U All economic activities,2020,860.0
4377,Total,Total,55 to 59 years,A-F Agriculture and industry,2020,163.0
4392,Total,Total,55 to 59 years,"A Agriculture, forestry and fishing",2020,9.0
4407,Total,Total,55 to 59 years,B-F Manifacturing and energy,2020,154.0
4422,Total,Total,55 to 59 years,"B-E Industry (no construction), energy",2020,117.0
4437,Total,Total,55 to 59 years,B Mining and quarrying ,2020,1.0
4452,Total,Total,55 to 59 years,C Manufacturing,2020,107.0
4467,Total,Total,55 to 59 years,D Energy supply,2020,4.0
4482,Total,Total,55 to 59 years,E Water supply and waste management,2020,5.0
4497,Total,Total,55 to 59 years,F Construction,2020,37.0
4512,Total,Total,55 to 59 years,G-N Commercial services,2020,346.0
4527,Total,Total,55 to 59 years,"G-I Trade, transport, hotels, catering",2020,169.0
4542,Total,Total,55 to 59 years,G Wholesale and retail trade,2020,102.0
4557,Total,Total,55 to 59 years,H Transportation and storage,2020,51.0
4572,Total,Total,55 to 59 years,I Accommodation and food serving,2020,17.0
4587,Total,Total,55 to 59 years,J Information and communication,2020,20.0
4602,Total,Total,55 to 59 years,K Financial institutions,2020,31.0
4617,Total,Total,55 to 59 years,"L Renting, buying, selling real estate",2020,8.0
4632,Total,Total,55 to 59 years,M-N Business services,2020,117.0
4647,Total,Total,55 to 59 years,M Other specialised business services,2020,46.0
4662,Total,Total,55 to 59 years,N Renting and other business support,2020,71.0
4677,Total,Total,55 to 59 years,O-U Noncommercial services,2020,351.0
4692,Total,Total,55 to 59 years,O-Q Government and care,2020,325.0
4707,Total,Total,55 to 59 years,O Public administration and services,2020,82.0
4722,Total,Total,55 to 59 years,P Education,2020,63.0
4737,Total,Total,55 to 59 years,Q Health and social work activities,2020,180.0
4752,Total,Total,55 to 59 years,"R-U Culture, recreation, other services",2020,25.0
4767,Total,Total,55 to 59 years,"R Culture, sports and recreation",2020,12.0
4782,Total,Total,55 to 59 years,S Other service activities,2020,13.0
4797,Total,Total,60 to 64 years,A-U All economic activities,2020,626.0
4812,Total,Total,60 to 64 years,A-F Agriculture and industry,2020,116.0
4827,Total,Total,60 to 64 years,"A Agriculture, forestry and fishing",2020,6.0
4842,Total,Total,60 to 64 years,B-F Manifacturing and energy,2020,110.0
4857,Total,Total,60 to 64 years,"B-E Industry (no construction), energy",2020,83.0
4872,Total,Total,60 to 64 years,B Mining and quarrying ,2020,1.0
4887,Total,Total,60 to 64 years,C Manufacturing,2020,76.0
4902,Total,Total,60 to 64 years,D Energy supply,2020,3.0
4917,Total,Total,60 to 64 years,E Water supply and waste management,2020,4.0
4932,Total,Total,60 to 64 years,F Construction,2020,27.0
4947,Total,Total,60 to 64 years,G-N Commercial services,2020,232.0
4962,Total,Total,60 to 64 years,"G-I Trade, transport, hotels, catering",2020,117.0
4977,Total,Total,60 to 64 years,G Wholesale and retail trade,2020,66.0
4992,Total,Total,60 to 64 years,H Transportation and storage,2020,40.0
5007,Total,Total,60 to 64 years,I Accommodation and food serving,2020,12.0
5022,Total,Total,60 to 64 years,J Information and communication,2020,12.0
5037,Total,Total,60 to 64 years,K Financial institutions,2020,20.0
5052,Total,Total,60 to 64 years,"L Renting, buying, selling real estate",2020,6.0
5067,Total,Total,60 to 64 years,M-N Business services,2020,77.0
5082,Total,Total,60 to 64 years,M Other specialised business services,2020,30.0
5097,Total,Total,60 to 64 years,N Renting and other business support,2020,46.0
5112,Total,Total,60 to 64 years,O-U Noncommercial services,2020,277.0
5127,Total,Total,60 to 64 years,O-Q Government and care,2020,258.0
5142,Total,Total,60 to 64 years,O Public administration and services,2020,64.0
5157,Total,Total,60 to 64 years,P Education,2020,60.0
5172,Total,Total,60 to 64 years,Q Health and social work activities,2020,135.0
5187,Total,Total,60 to 64 years,"R-U Culture, recreation, other services",2020,20.0
5202,Total,Total,60 to 64 years,"R Culture, sports and recreation",2020,9.0
5217,Total,Total,60 to 64 years,S Other service activities,2020,10.0
5232,Total,Total,65 to 74 years,A-U All economic activities,2020,193.0
5247,Total,Total,65 to 74 years,A-F Agriculture and industry,2020,32.0
5262,Total,Total,65 to 74 years,"A Agriculture, forestry and fishing",2020,3.0
5277,Total,Total,65 to 74 years,B-F Manifacturing and energy,2020,29.0
5292,Total,Total,65 to 74 years,"B-E Industry (no construction), energy",2020,21.0
5307,Total,Total,65 to 74 years,B Mining and quarrying ,2020,0.0
5322,Total,Total,65 to 74 years,C Manufacturing,2020,19.0
5337,Total,Total,65 to 74 years,D Energy supply,2020,1.0
5352,Total,Total,65 to 74 years,E Water supply and waste management,2020,1.0
5367,Total,Total,65 to 74 years,F Construction,2020,8.0
5382,Total,Total,65 to 74 years,G-N Commercial services,2020,99.0
5397,Total,Total,65 to 74 years,"G-I Trade, transport, hotels, catering",2020,50.0
5412,Total,Total,65 to 74 years,G Wholesale and retail trade,2020,27.0
5427,Total,Total,65 to 74 years,H Transportation and storage,2020,17.0
5442,Total,Total,65 to 74 years,I Accommodation and food serving,2020,5.0
5457,Total,Total,65 to 74 years,J Information and communication,2020,3.0
5472,Total,Total,65 to 74 years,K Financial institutions,2020,10.0
5487,Total,Total,65 to 74 years,"L Renting, buying, selling real estate",2020,3.0
5502,Total,Total,65 to 74 years,M-N Business services,2020,34.0
5517,Total,Total,65 to 74 years,M Other specialised business services,2020,13.0
5532,Total,Total,65 to 74 years,N Renting and other business support,2020,21.0
5547,Total,Total,65 to 74 years,O-U Noncommercial services,2020,62.0
5562,Total,Total,65 to 74 years,O-Q Government and care,2020,54.0
5577,Total,Total,65 to 74 years,O Public administration and services,2020,13.0
5592,Total,Total,65 to 74 years,P Education,2020,14.0
5607,Total,Total,65 to 74 years,Q Health and social work activities,2020,27.0
5622,Total,Total,65 to 74 years,"R-U Culture, recreation, other services",2020,8.0
5637,Total,Total,65 to 74 years,"R Culture, sports and recreation",2020,3.0
5652,Total,Total,65 to 74 years,S Other service activities,2020,4.0
5667,Total,Total,75 years or older,A-U All economic activities,2020,15.0
5682,Total,Total,75 years or older,A-F Agriculture and industry,2020,2.0
5697,Total,Total,75 years or older,"A Agriculture, forestry and fishing",2020,1.0
5712,Total,Total,75 years or older,B-F Manifacturing and energy,2020,2.0
5727,Total,Total,75 years or older,"B-E Industry (no construction), energy",2020,1.0
5742,Total,Total,75 years or older,B Mining and quarrying ,2020,0.0
5757,Total,Total,75 years or older,C Manufacturing,2020,1.0
5772,Total,Total,75 years or older,D Energy supply,2020,0.0
5787,Total,Total,75 years or older,E Water supply and waste management,2020,0.0
5802,Total,Total,75 years or older,F Construction,2020,1.0
5817,Total,Total,75 years or older,G-N Commercial services,2020,11.0
5832,Total,Total,75 years or older,"G-I Trade, transport, hotels, catering",2020,5.0
5847,Total,Total,75 years or older,G Wholesale and retail trade,2020,3.0
5862,Total,Total,75 years or older,H Transportation and storage,2020,1.0
5877,Total,Total,75 years or older,I Accommodation and food serving,2020,0.0
5892,Total,Total,75 years or older,J Information and communication,2020,0.0
5907,Total,Total,75 years or older,K Financial institutions,2020,2.0
5922,Total,Total,75 years or older,"L Renting, buying, selling real estate",2020,1.0
5937,Total,Total,75 years or older,M-N Business services,2020,3.0
5952,Total,Total,75 years or older,M Other specialised business services,2020,1.0
5967,Total,Total,75 years or older,N Renting and other business support,2020,1.0
5982,Total,Total,75 years or older,O-U Noncommercial services,2020,2.0
5997,Total,Total,75 years or older,O-Q Government and care,2020,1.0
6012,Total,Total,75 years or older,O Public administration and services,2020,0.0
6027,Total,Total,75 years or older,P Education,2020,0.0
6042,Total,Total,75 years or older,Q Health and social work activities,2020,0.0
6057,Total,Total,75 years or older,"R-U Culture, recreation, other services",2020,1.0
6072,Total,Total,75 years or older,"R Culture, sports and recreation",2020,0.0
6087,Total,Total,75 years or older,S Other service activities,2020,0.0
24807,Sex: Male,Total,Total,A-U All economic activities,2020,4362.0
24822,Sex: Male,Total,Total,A-F Agriculture and industry,2020,1016.0
24837,Sex: Male,Total,Total,"A Agriculture, forestry and fishing",2020,73.0
24852,Sex: Male,Total,Total,B-F Manifacturing and energy,2020,943.0
24867,Sex: Male,Total,Total,"B-E Industry (no construction), energy",2020,649.0
